file_name,real,baseline
br-a01,35,44
br-a02,30,42
br-a03,17,13
br-a04,16,13
br-a05,21,15
br-a06,18,13
br-a07,16,14
br-a08,19,15
br-a09,16,14
br-a10,24,16
br-a11,30,42
br-a12,34,41
br-a13,31,40
br-a14,34,41
br-a15,34,39
br-a16,19,15
br-a17,22,15
br-a18,19,15
br-a19,17,13
br-a20,18,15
br-a21,17,14
br-a22,19,16
br-a23,18,13
br-a24,18,14
br-a25,18,15
br-a26,18,12
br-a27,19,16
br-a28,14,12
br-a29,16,12
br-a30,22,15
br-a31,20,14
br-a32,19,11
br-a33,20,14
br-a34,16,12
br-a35,15,11
br-a36,18,14
br-a37,22,13
br-a38,21,13
br-a39,22,15
br-a40,17,14
br-a41,18,15
br-a42,22,15
br-a43,16,13
br-a44,16,12
br-b01,16,13
br-b02,19,15
br-b03,19,14
br-b04,17,14
br-b05,17,14
br-b06,17,13
br-b07,16,11
br-b08,28,16
br-b09,19,14
br-b10,22,14
br-b11,15,13
br-b12,17,13
br-b13,35,47
br-b14,19,14
br-b15,21,13
br-b16,18,13
br-b17,22,15
br-b18,18,12
br-b19,18,14
br-b20,34,40
br-b21,15,11
br-b22,16,11
br-b23,19,14
br-b24,15,11
br-b25,17,12
br-b26,20,14
br-b27,21,16
br-c01,33,44
br-c02,36,49
br-c03,15,9
br-c04,34,44
br-c05,19,10
br-c06,15,11
br-c07,15,9
br-c08,18,12
br-c09,17,12
br-c10,19,14
br-c11,18,12
br-c12,14,11
br-c13,17,13
br-c14,15,10
br-c15,15,9
br-c16,18,14
br-c17,16,13
br-d01,43,52
br-d02,36,45
br-d03,30,42
br-d04,36,49
br-d05,22,17
br-d06,23,15
br-d07,25,17
br-d08,16,10
br-d09,17,14
br-d10,16,15
br-d11,19,15
br-d12,13,11
br-d13,22,14
br-d14,18,14
br-d15,16,14
br-d16,27,15
br-d17,21,15
br-e01,39,50
br-e02,37,47
br-e03,20,13
br-e04,36,50
br-e05,29,14
br-e06,18,13
br-e07,16,15
br-e08,19,13
br-e09,26,13
br-e10,17,10
br-e11,18,14
br-e12,17,13
br-e13,18,11
br-e14,18,17
br-e15,14,17
br-e16,16,15
br-e17,16,12
br-e18,16,14
br-e19,17,12
br-e20,17,14
br-e21,40,50
br-e22,34,47
br-e23,41,48
br-e24,43,48
br-e25,35,45
br-e26,35,43
br-e27,30,51
br-e28,42,55
br-e29,36,48
br-e30,39,50
br-e31,36,49
br-f01,18,13
br-f02,18,15
br-f03,34,46
br-f04,20,15
br-f05,17,13
br-f06,24,18
br-f07,16,12
br-f08,36,44
br-f09,26,18
br-f10,33,43
br-f11,18,12
br-f12,22,14
br-f13,40,49
br-f14,36,46
br-f15,37,49
br-f16,32,44
br-f17,32,40
br-f18,36,40
br-f19,33,43
br-f20,30,42
br-f21,35,47
br-f22,35,42
br-f23,36,44
br-f24,33,44
br-f25,34,39
br-f33,40,40
br-f43,39,52
br-f44,32,46
br-g01,33,42
br-g02,13,11
br-g03,18,12
br-g04,20,15
br-g05,18,12
br-g06,21,16
br-g07,17,14
br-g08,14,11
br-g09,16,15
br-g10,20,17
br-g11,37,48
br-g12,42,45
br-g13,18,15
br-g14,38,46
br-g15,37,46
br-g16,43,53
br-g17,35,41
br-g18,38,48
br-g19,32,45
br-g20,38,43
br-g21,40,47
br-g22,40,50
br-g23,34,42
br-g28,35,40
br-g31,33,42
br-g39,35,44
br-g43,46,48
br-g44,40,47
br-h01,31,44
br-h02,15,14
br-h03,19,12
br-h04,10,10
br-h05,13,11
br-h06,11,10
br-h07,15,12
br-h08,21,14
br-h09,35,51
br-h10,12,10
br-h11,30,44
br-h12,38,51
br-h13,36,48
br-h14,32,56
br-h15,35,49
br-h16,33,46
br-h17,34,43
br-h18,49,47
br-h21,35,48
br-h24,33,44
br-j01,30,41
br-j02,31,45
br-j03,36,46
br-j04,36,45
br-j05,37,46
br-j06,38,44
br-j07,36,48
br-j08,31,43
br-j09,27,41
br-j10,32,45
br-j11,35,47
br-j12,27,37
br-j13,36,54
br-j14,30,36
br-j15,26,36
br-j16,21,38
br-j17,34,46
br-j18,34,36
br-j19,40,48
br-j20,46,49
br-j21,17,11
br-j22,39,52
br-j23,40,54
br-j24,12,9
br-j25,11,10
br-j26,12,9
br-j27,15,13
br-j28,19,12
br-j29,39,49
br-j30,41,48
br-j31,37,43
br-j32,40,47
br-j33,46,44
br-j34,37,43
br-j35,40,51
br-j37,34,47
br-j38,35,47
br-j41,45,58
br-j42,35,49
br-j52,43,47
br-j53,36,48
br-j54,37,48
br-j55,33,44
br-j56,29,40
br-j57,38,47
br-j58,33,46
br-j59,41,48
br-j60,34,44
br-j70,31,49
br-k01,37,43
br-k02,35,47
br-k03,38,44
br-k04,40,44
br-k05,37,39
br-k06,30,46
br-k07,37,41
br-k08,38,41
br-k09,40,41
br-k10,33,45
br-k11,37,45
br-k12,33,44
br-k13,37,41
br-k14,37,45
br-k15,35,44
br-k16,29,43
br-k17,33,38
br-k18,38,43
br-k19,38,43
br-k20,37,43
br-k21,36,48
br-k22,39,39
br-k23,36,49
br-k24,33,38
br-k25,35,42
br-k26,37,36
br-k27,33,45
br-k28,37,42
br-k29,37,46
br-l01,24,15
br-l02,27,16
br-l03,25,18
br-l04,22,18
br-l05,24,18
br-l06,25,20
br-l07,22,14
br-l08,38,43
br-l09,35,41
br-l10,39,39
br-l11,38,43
br-l12,31,46
br-l13,40,46
br-l14,36,41
br-l15,36,44
br-l16,39,44
br-l17,34,43
br-l18,40,41
br-m01,33,42
br-m02,36,42
br-m03,20,13
br-m04,21,14
br-m05,19,16
br-m06,22,16
br-n01,26,17
br-n02,22,18
br-n03,24,19
br-n04,22,19
br-n05,41,41
br-n06,19,16
br-n07,22,17
br-n08,20,19
br-n09,38,43
br-n10,34,41
br-n11,37,42
br-n12,36,45
br-n14,39,49
br-n15,37,47
br-n16,31,42
br-n17,40,42
br-n20,40,49
br-p01,37,44
br-p02,22,18
br-p03,23,17
br-p04,21,15
br-p05,23,14
br-p06,28,17
br-p07,36,42
br-p08,26,17
br-p09,45,44
br-p10,42,41
br-p12,40,39
br-p24,33,38
br-r01,20,15
br-r02,23,15
br-r03,17,14
br-r04,37,42
br-r05,38,43
br-r06,36,41
br-r07,37,41
br-r08,30,43
br-r09,32,45
