file_name,real,baseline
br-a01,32,23
br-a02,32,21
br-a03,6,4
br-a04,6,3
br-a05,8,6
br-a06,7,6
br-a07,9,4
br-a08,6,3
br-a09,9,4
br-a10,7,6
br-a11,30,19
br-a12,25,20
br-a13,25,19
br-a14,29,18
br-a15,28,22
br-a16,4,3
br-a17,5,4
br-a18,8,4
br-a19,7,6
br-a20,8,4
br-a21,9,5
br-a22,9,5
br-a23,7,5
br-a24,9,5
br-a25,8,3
br-a26,5,5
br-a27,7,3
br-a28,9,4
br-a29,5,5
br-a30,5,4
br-a31,6,4
br-a32,6,7
br-a33,7,5
br-a34,7,5
br-a35,5,5
br-a36,8,5
br-a37,6,6
br-a38,5,4
br-a39,6,5
br-a40,8,4
br-a41,8,5
br-a42,6,5
br-a43,6,4
br-a44,5,4
br-b01,7,5
br-b02,5,4
br-b03,7,5
br-b04,7,5
br-b05,6,4
br-b06,7,6
br-b07,6,5
br-b08,6,10
br-b09,6,5
br-b10,6,8
br-b11,7,4
br-b12,9,6
br-b13,32,24
br-b14,7,6
br-b15,6,7
br-b16,6,6
br-b17,7,7
br-b18,8,7
br-b19,10,8
br-b20,30,23
br-b21,6,5
br-b22,6,6
br-b23,7,5
br-b24,6,5
br-b25,6,5
br-b26,7,6
br-b27,7,5
br-c01,27,17
br-c02,35,22
br-c03,7,8
br-c04,32,19
br-c05,5,7
br-c06,6,5
br-c07,6,7
br-c08,4,5
br-c09,6,6
br-c10,6,4
br-c11,5,5
br-c12,6,4
br-c13,6,5
br-c14,4,4
br-c15,5,4
br-c16,8,6
br-c17,6,6
br-d01,34,21
br-d02,34,24
br-d03,31,23
br-d04,33,21
br-d05,8,6
br-d06,7,5
br-d07,6,6
br-d08,5,5
br-d09,3,4
br-d10,8,5
br-d11,5,5
br-d12,5,3
br-d13,5,6
br-d14,6,4
br-d15,7,4
br-d16,8,8
br-d17,7,7
br-e01,31,22
br-e02,33,25
br-e03,6,8
br-e04,34,23
br-e05,6,9
br-e06,7,5
br-e07,4,2
br-e08,6,5
br-e09,5,4
br-e10,3,3
br-e11,7,5
br-e12,6,3
br-e13,4,4
br-e14,4,4
br-e15,3,3
br-e16,8,4
br-e17,6,5
br-e18,7,4
br-e19,5,5
br-e20,5,5
br-e21,41,28
br-e22,34,25
br-e23,32,19
br-e24,30,25
br-e25,34,25
br-e26,36,22
br-e27,32,26
br-e28,37,20
br-e29,39,25
br-e30,39,26
br-e31,34,24
br-f01,4,4
br-f02,8,5
br-f03,41,24
br-f04,5,5
br-f05,5,4
br-f06,5,5
br-f07,6,6
br-f08,39,30
br-f09,8,7
br-f10,34,26
br-f11,7,6
br-f12,5,6
br-f13,43,27
br-f14,29,18
br-f15,36,23
br-f16,30,20
br-f17,25,17
br-f18,27,22
br-f19,38,27
br-f20,29,18
br-f21,35,22
br-f22,27,19
br-f23,33,26
br-f24,29,24
br-f25,34,29
br-f33,39,30
br-f43,35,22
br-f44,42,30
br-g01,34,28
br-g02,5,5
br-g03,5,5
br-g04,8,6
br-g05,5,5
br-g06,8,5
br-g07,7,4
br-g08,7,5
br-g09,6,3
br-g10,9,4
br-g11,43,28
br-g12,32,23
br-g13,6,5
br-g14,33,22
br-g15,34,21
br-g16,34,20
br-g17,30,23
br-g18,35,19
br-g19,37,23
br-g20,36,25
br-g21,30,22
br-g22,41,26
br-g23,35,26
br-g28,34,25
br-g31,31,19
br-g39,31,17
br-g43,34,27
br-g44,38,28
br-h01,41,28
br-h02,7,4
br-h03,4,4
br-h04,6,4
br-h05,8,5
br-h06,6,3
br-h07,6,5
br-h08,5,3
br-h09,36,23
br-h10,5,2
br-h11,38,25
br-h12,30,18
br-h13,28,20
br-h14,23,17
br-h15,36,24
br-h16,36,21
br-h17,34,19
br-h18,30,22
br-h21,38,26
br-h24,31,23
br-j01,38,28
br-j02,34,21
br-j03,35,21
br-j04,35,26
br-j05,32,24
br-j06,29,21
br-j07,32,21
br-j08,42,28
br-j09,29,24
br-j10,35,24
br-j11,32,24
br-j12,32,26
br-j13,26,25
br-j14,29,22
br-j15,31,25
br-j16,36,26
br-j17,36,20
br-j18,21,15
br-j19,28,24
br-j20,26,14
br-j21,4,3
br-j22,44,24
br-j23,38,25
br-j24,5,4
br-j25,6,3
br-j26,4,3
br-j27,7,5
br-j28,6,8
br-j29,34,25
br-j30,34,23
br-j31,34,24
br-j32,33,23
br-j33,32,25
br-j34,38,27
br-j35,29,19
br-j37,44,27
br-j38,43,32
br-j41,37,21
br-j42,39,25
br-j52,34,25
br-j53,43,25
br-j54,37,25
br-j55,33,23
br-j56,31,19
br-j57,32,26
br-j58,31,18
br-j59,24,19
br-j60,39,29
br-j70,38,25
br-k01,36,26
br-k02,34,22
br-k03,30,21
br-k04,34,25
br-k05,32,25
br-k06,32,21
br-k07,28,23
br-k08,34,24
br-k09,32,24
br-k10,29,21
br-k11,30,21
br-k12,32,24
br-k13,34,23
br-k14,32,21
br-k15,30,22
br-k16,34,25
br-k17,28,20
br-k18,29,20
br-k19,32,23
br-k20,31,21
br-k21,35,21
br-k22,31,26
br-k23,35,25
br-k24,31,21
br-k25,37,26
br-k26,31,27
br-k27,38,24
br-k28,28,21
br-k29,32,22
br-l01,6,8
br-l02,6,8
br-l03,9,9
br-l04,7,5
br-l05,7,6
br-l06,7,5
br-l07,6,7
br-l08,29,19
br-l09,31,21
br-l10,29,22
br-l11,31,24
br-l12,34,20
br-l13,30,19
br-l14,30,24
br-l15,28,19
br-l16,29,21
br-l17,30,20
br-l18,28,19
br-m01,29,21
br-m02,31,24
br-m03,7,8
br-m04,9,9
br-m05,8,4
br-m06,8,7
br-n01,8,9
br-n02,8,7
br-n03,9,7
br-n04,9,6
br-n05,33,24
br-n06,8,5
br-n07,7,6
br-n08,10,7
br-n09,31,20
br-n10,33,22
br-n11,31,22
br-n12,29,20
br-n14,28,18
br-n15,28,17
br-n16,30,21
br-n17,30,21
br-n20,30,20
br-p01,31,23
br-p02,9,7
br-p03,7,7
br-p04,7,6
br-p05,6,8
br-p06,7,8
br-p07,28,22
br-p08,8,10
br-p09,30,22
br-p10,29,21
br-p12,29,23
br-p24,29,22
br-r01,9,6
br-r02,8,9
br-r03,8,4
br-r04,34,21
br-r05,32,26
br-r06,32,24
br-r07,33,26
br-r08,32,21
br-r09,29,20
